school,schoolsup,course,passed
GP,yes,mat,no
GP,no,mat,no
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,yes,mat,no
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,yes,mat,no
GP,yes,mat,no
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,no
GP,yes,mat,yes
GP,yes,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,yes,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,yes,mat,yes
GP,yes,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,yes,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,yes,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,yes,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,yes,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,yes,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,no
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,yes
GP,no,mat,no
GP,no,mat,yes
MS,no,mat,yes
MS,no,mat,no
MS,no,mat,yes
MS,no,mat,no
MS,no,mat,no
MS,no,mat,yes
MS,no,mat,no
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,no
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,no
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,no
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,yes
MS,no,mat,no
MS,no,mat,yes
MS,no,mat,no
MS,no,mat,no
MS,no,mat,yes
MS,no,mat,no
MS,no,mat,no
MS,no,mat,no
MS,no,mat,no
MS,no,mat,no
MS,no,mat,yes
MS,no,mat,no
MS,no,mat,yes
MS,no,mat,no
GP,yes,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,no
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,yes,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,no
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,yes,por,yes
GP,yes,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,yes,por,no
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,yes,por,no
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,no
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,no
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,no
GP,yes,por,yes
GP,no,por,no
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,no
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,no
GP,no,por,yes
GP,no,por,no
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,yes,por,no
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,no
GP,no,por,yes
GP,no,por,no
GP,yes,por,no
GP,no,por,yes
GP,no,por,no
GP,no,por,no
GP,no,por,no
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,no
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,no
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,no
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,no
GP,no,por,no
GP,no,por,no
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,no
GP,no,por,no
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,no
GP,no,por,yes
GP,no,por,yes
GP,no,por,no
GP,yes,por,yes
GP,no,por,no
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,no
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,no
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,no
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,no,por,yes
GP,yes,por,yes
GP,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,yes,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,no
MS,yes,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,yes,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,yes,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,yes,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,yes,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,no
MS,no,por,no
MS,yes,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,no
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,no,por,no
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,yes,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,yes,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,yes,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,yes,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,no,por,no
MS,no,por,no
MS,no,por,no
MS,no,por,no
MS,no,por,no
MS,no,por,no
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,no,por,no
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,yes,por,no
MS,no,por,no
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,no
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,yes
MS,no,por,no
MS,no,por,yes
MS,no,por,yes
